10	CEC49773C9420F8476AB6C31EC7A649E2633E13C EU 8704000	70D8ACD579898E06EF152D999C88D458DA62BC6D EU 2560000	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
11	902F781A75D3CC0618BD81C55968F60633B54211 EU 2856535	44BEEA03A5338D7308D06DA3D56F1F2F2F9FBFC2 EU 10240000	24835DBD5492E21F7987DFC3FACB39016BEE59A8 EU 1126400
12	6A7551EEE18F78A9813096E82BF84F740D32B911 EU 7787053	7E32DBD533A30D724FC005EB2B9F8900A69919FB EU 12212081	0011BD2485AD45D984EC4159C88FC066E5E3300E NA 7945271
13	7E32DBD533A30D724FC005EB2B9F8900A69919FB EU 12212081	F43AA1EC55706036EDCF82F594B5E1FB99B35FF4 EU 6246400	C4F0FFD70EFD76D367B861863BA9C3195D752B6E EU 4447789
14	6A7551EEE18F78A9813096E82BF84F740D32B911 EU 7787053	F43AA1EC55706036EDCF82F594B5E1FB99B35FF4 EU 6246400	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
15	E589316576A399C511A9781A73DA4545640B479D EU 12127718	10A8D7312A6A61F7CE93C842960AE4342C5306E9 EU 7189833	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
16	DEE8586B88654836B6DCFA9322198A0AEEBE3676 EU 3072000	7E32DBD533A30D724FC005EB2B9F8900A69919FB EU 12212081	8AAACCAEF793C4C55999A53DC1FFFA43D9FFE224 EU 819200
17	CEC49773C9420F8476AB6C31EC7A649E2633E13C EU 8704000	7E32DBD533A30D724FC005EB2B9F8900A69919FB EU 12212081	62C3FB37C44555E55A62BBD7CDDD97FE4894F317 EU 5899682
18	7E32DBD533A30D724FC005EB2B9F8900A69919FB EU 12212081	9DB5AF371F99986F8136F1D158C2919B3CC7DC4D EU 5001582	8BFD4BAAD59C64D43DD2221C700C8D6CE9F2C7AA NA 10536921
19	7E32DBD533A30D724FC005EB2B9F8900A69919FB EU 12212081	03B5C7B81CA56DF3CCC31FDA8032A7763B8B50B4 AS 2281617	4A24B8AFC5702BEB9D0EDA302B6F48AC84CF6EB3 EU 2621440
20	E589316576A399C511A9781A73DA4545640B479D EU 12127718	593531849D8C80787409EEBEB9F543A21F19D2CB EU 5673530	C86D2F3DEFE287A0EEB28D4887AF14E35C172733 NA 11801128
21	B291D30517D23299AD7CEE3E60DFE60D0E3A4664 EU 5242880	44BEEA03A5338D7308D06DA3D56F1F2F2F9FBFC2 EU 10240000	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
22	B291D30517D23299AD7CEE3E60DFE60D0E3A4664 EU 5242880	9AFA555B3B8A9B82FA7DC1C6B34471D792F37818 NA 1536000	4A24B8AFC5702BEB9D0EDA302B6F48AC84CF6EB3 EU 2621440
23	6A7551EEE18F78A9813096E82BF84F740D32B911 EU 7787053	78F9EDB84CF31EAC99DD8F7C0D6E8A02E49229FF EU 3387402	8BFD4BAAD59C64D43DD2221C700C8D6CE9F2C7AA NA 10536921
24	4284E942842BCD7747AD468147B50BC93ADD8258 NA 3838107	1AC6D51CD6EC83B604E04548D5325FDFA0CE03D3 EU 5120000	8BFD4BAAD59C64D43DD2221C700C8D6CE9F2C7AA NA 10536921
25	2534F397CBC007DC528DE878FB6014727948C21F EU 4155654	5751514249B4A7FA5187363BB6C4F76126729137 NA 2097152	0011BD2485AD45D984EC4159C88FC066E5E3300E NA 7945271
26	593531849D8C80787409EEBEB9F543A21F19D2CB EU 5673530	C9E40BE1E39CB8EA58550BABFCD229B0CC6ABCB9 EU 1310720	C86D2F3DEFE287A0EEB28D4887AF14E35C172733 NA 11801128
27	10A8D7312A6A61F7CE93C842960AE4342C5306E9 EU 7189833	E705D2B989C539720AE26ADAAF2A27BA8CED4453 NA 754688	EFE9BC81FBCE1CC52E1DCA97E760723CAD622E1C NA 1593977
28	2534F397CBC007DC528DE878FB6014727948C21F EU 4155654	593531849D8C80787409EEBEB9F543A21F19D2CB EU 5673530	0011BD2485AD45D984EC4159C88FC066E5E3300E NA 7945271
29	6A7551EEE18F78A9813096E82BF84F740D32B911 EU 7787053	166B6B9437B6149FC65625B34850473C3F38B5E7 EU 1101894	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
30	F43AA1EC55706036EDCF82F594B5E1FB99B35FF4 EU 6246400	70D8ACD579898E06EF152D999C88D458DA62BC6D EU 2560000	0011BD2485AD45D984EC4159C88FC066E5E3300E NA 7945271
